Delta Averaged,Theta Averaged,Alpha Averaged,Beta Averaged,Gamma Averaged,Mean Delta 10sec,Median Delta 10sec,Sum Delta 10sec,STDEV Delta 10sec,Relaxed,Time Averaged,Funny/Happy
0.017062077,0.189474283,0.1027251139,0.645382122,0.0453564064,,,,,1,12.90734332,0
0.0181058418,0.199062696,0.1095972889,0.626547684,0.0466864867,,,,,1,12.92689066,0
0.0194073846,0.210621062,0.1159156632,0.606235665,0.0478202168,,,,,1,12.93875954,0
0.0207819426,0.220979321,0.1193384676,0.590988878,0.0479113963,,,,,1,12.96309152,0
0.0219502179,0.225041324,0.1163239868,0.590868378,0.0458160863,,,,,1,12.98742294,0
0.0224605225,0.217067714,0.10479411,0.614414653,0.0412630103,,,,,1,13.0068727,0
0.021108899,0.190478791,0.091067049,0.660857729,0.0364875302,,,,,1,13.03020828,0
0.0184297818,0.163372418,0.0825310212,0.702658043,0.0330087193,,,,,1,13.05145111,0
0.0162945964,0.146405564,0.0770988892,0.729744837,0.030456114,,,,,1,13.07189701,0
0.0149708635,0.135101835,0.0723013305,0.749381456,0.0282445178,,,,,1,13.08516095,0
0.01432640425,0.1256117654,0.0670456211,0.766758903,0.0262573153,,,,,1,13.10391238,0
0.01424900725,0.1157683336,0.06692741,0.778059011,0.0249962368,,,,,1,13.12435744,0
0.01467319735,0.1080092685,0.074011706,0.778280901,0.0250249021,,,,,1,13.14599774,0
0.01528946405,0.1063032619,0.0862435526,0.765755442,0.0264082833,,,,,1,13.16265326,0
0.01564302185,0.1165993584,0.1031272997,0.735157515,0.0294728071,,,,,1,13.1775146,0
0.0168016336,0.139752633,0.1268150994,0.682189858,0.034440768,,,,,1,13.19865758,0
0.0187019756,0.165058147,0.149731592,0.627527973,0.0389803032,,,,,1,13.21950128,0
0.0206095065,0.185067885,0.166095137,0.5866463,0.04158119,,,,,1,13.24084644,0
0.0220488512,0.195103827,0.172382165,0.568975556,0.0414896048,,,,,1,13.26348641,0
0.0233156085,0.195074216,0.170956791,0.571097855,0.0395555175,,,,,1,13.28253264,0
0.0235903102,0.190342731,0.161731712,0.58760002,0.0367352109,,,,,1,13.29908926,0
0.0208130086,0.184311598,0.150416138,0.610219449,0.0342398214,,,,,1,13.32272744,0
0.0185394619,0.180074328,0.143618696,0.624682202,0.0330853156,,,,,1,13.35284522,0
0.0189966039,0.18339679,0.140540542,0.623728853,0.033337206,,,,,1,13.37927654,0
0.0201597898,0.193943039,0.137634139,0.614061265,0.0342017888,,,,,1,13.39982159,0
0.0211404883,0.208450418,0.133404527,0.601902545,0.0351020233,,,,,1,13.42755029,0
0.0215612726,0.223582886,0.127882863,0.591328821,0.0356441731,,,,,1,13.44290504,0
0.0207564807,0.231490522,0.1220255494,0.590608716,0.0351187197,,,,,1,13.47422206,0
0.0180908929,0.22584881,0.1202553561,0.601947699,0.0338572363,,,,,1,13.49975262,0
0.0140347337,0.20991489,0.1179935444,0.625893443,0.0321633986,,,,,1,13.51191995,0
0.0108110782,0.194939756,0.1123466945,0.6518801,0.030022411,,,,,1,13.53446033,0
0.0089852057,0.179708022,0.106932547,0.676199255,0.0281749613,,,,,1,13.64167464,0
0.0088838653,0.167853342,0.1054913674,0.689937735,0.0278337027,,,,,1,13.79267514,0
0.0093378859,0.15702234,0.1029808768,0.703188146,0.0274707581,,,,,1,13.92811179,0
0.0100025389,0.147134331,0.0984165419,0.717397429,0.0270491806,,,,,1,14.06305432,0
0.0108678616,0.13877713,0.0907756155,0.73251564,0.0270637283,,,,,1,14.19844594,0
0.011652378,0.136492408,0.0865160066,0.737656726,0.0276824882,,,,,1,14.32898278,0
0.01237838825,0.141486068,0.0900775849,0.72719325,0.0288647286,,,,,1,14.45936494,0
0.0132027623,0.153255966,0.0974651356,0.705455715,0.0306204451,,,,,1,14.59560106,0
0.0140957694,0.170323293,0.1065788265,0.676195064,0.0328070333,,,,,1,14.72755144,0
0.0149592956,0.190410787,0.1153216629,0.644185332,0.0351229276,,,,,1,14.8521179,0
0.0156728691,0.212872152,0.121460824,0.612568998,0.0374251892,,,,,1,14.98825076,0
0.0165351563,0.237468204,0.1232951404,0.582641821,0.0400596784,,,,,1,15.12149408,0
0.0178245776,0.259052068,0.134254129,0.544588379,0.0442808705,,,,,1,15.25703163,0
0.0193097691,0.27936155,0.150406298,0.501904257,0.0490180985,,,,,1,15.40038266,0
0.0209725599,0.299951188,0.164718994,0.461438592,0.0529186526,,,,,1,15.534166,0
0.0227577929,0.320246182,0.176218575,0.424797,0.0559804418,,,,,1,15.67231774,0
0.0248084404,0.340777416,0.184907539,0.391255645,0.0582509493,,,,,1,15.80714314,0
0.027457566,0.363303591,0.190659689,0.358917566,0.0596615898,,,,,1,15.9438432,0
0.0313844634,0.39085926,0.19250438,0.325178294,0.0600736005,,,,,1,16.0822777,0
0.0377495961,0.425683242,0.188924919,0.287619261,0.0600229648,,,,,1,16.22174683,0
0.047300409,0.446356597,0.182271699,0.259977079,0.0640942166,,,,,1,16.35833941,0
0.0492410873,0.436824097,0.182551174,0.259236845,0.0721467786,,,,,1,16.50258484,0
0.0465030725,0.413957369,0.182354798,0.274463648,0.0827211071,,,,,1,16.63822329,0
0.0422262197,0.393897223,0.18134587,0.289607855,0.0929228073,,,,,1,16.77266243,0
0.038805204,0.373443715,0.180318516,0.305001426,0.1024311349,,,,,1,16.90580802,0
0.0368109688,0.34347014,0.180405929,0.326765145,0.1125478301,,,,,1,17.03925374,0
0.0348404035,0.305459343,0.18320309,0.351932503,0.1245646865,,,,,1,17.17508965,0
0.0324634479,0.274222336,0.183460409,0.37376374,0.136090072,,,,,1,17.30724459,0
0.0313057919,0.25508795,0.179518996,0.388496303,0.145590964,,,,,1,17.44268322,0
0.0322016149,0.249736833,0.172227023,0.393481354,0.152353178,,,,,1,17.58195384,0
0.0347769021,0.254814279,0.167189975,0.386162373,0.157056493,,,,,1,17.72037394,0
0.0380926425,0.261293772,0.165269848,0.374427884,0.160915847,,,,,1,17.85626454,0
0.0409507113,0.263049806,0.16163011,0.367047647,0.167321746,,,,,1,17.98731465,0
0.042355728,0.261912496,0.15527755,0.362001332,0.178452898,,,,,1,18.12045798,0
0.0406425186,0.255748468,0.14614498,0.363401298,0.194062728,,,,,1,18.24931376,0
0.0358754834,0.240611455,0.137568139,0.373502761,0.212442153,,,,,1,18.39412665,0
0.0321796395,0.21961379,0.129840549,0.389791606,0.228574406,,,,,1,18.53734939,0
0.0307617798,0.198105665,0.1245326079,0.407592325,0.239007615,,,,,1,18.6825603,0
0.0306029403,0.181438506,0.1230204282,0.419631964,0.245306175,,,,,1,18.82577474,0
0.0307878926,0.173475957,0.1212869579,0.424770874,0.249678298,,,,,1,18.96493449,0
0.0305536022,0.174821849,0.1189008976,0.423031845,0.252691802,,,,,1,19.10147524,0
0.0293312811,0.181703623,0.1173725135,0.419326921,0.252265664,,,,,1,19.23173499,0
0.028375869,0.188593671,0.1182793844,0.416410266,0.248340809,,,,,1,19.36316142,0
0.027569161,0.192390845,0.1214524639,0.41432428,0.244263242,,,,,1,19.49919693,0
0.0260246946,0.200188994,0.124112148,0.408142217,0.241531961,,,,,1,19.6377244,0
0.023494326,0.20937587,0.126987313,0.39874711,0.241395377,,,,,1,19.76847529,0
0.0207733208,0.217162576,0.128937905,0.388692323,0.244433864,,,,,1,19.90421176,0
0.017896578,0.222780509,0.12919094,0.378210431,0.251921526,,,,,1,20.0342653,0
0.0171870905,0.222825786,0.1269346304,0.370688593,0.262363899,,,,,1,20.16207583,0
0.0175664972,0.222830246,0.1208427194,0.367681434,0.271079096,,,,,1,20.29191704,0
0.0187480511,0.238219093,0.1215729887,0.355150481,0.266309386,,,,,1,20.419066,0
0.0215110794,0.271988357,0.132646147,0.329032837,0.244821575,,,,,1,20.55279453,0
0.0255683215,0.318130845,0.146088804,0.297448541,0.212763474,,,,,1,20.68670547,0
0.0304206703,0.368700846,0.157514571,0.265312955,0.178050972,,,,,1,20.82053473,0
0.0357172164,0.41748146,0.16439932,0.234944871,0.147457137,,,,,1,20.95513678,0
0.0411192737,0.458113168,0.164432069,0.209747402,0.1265881015,,,,,1,21.09393048,0
0.0461819898,0.483824089,0.156201122,0.194613283,0.1191795254,,,,,1,21.22851398,0
0.0504116541,0.490264154,0.142248783,0.192195856,0.124879548,,,,,1,21.36001914,0
0.0530404712,0.473647431,0.128275326,0.20398927,0.141047524,,,,,1,21.49884634,0
0.0542629097,0.44509612,0.1197449376,0.221507076,0.159388939,,,,,1,21.6364785,0
0.0538682463,0.422055738,0.1137178566,0.23584267,0.174515499,,,,,1,21.77161806,0
0.0531226411,0.394976617,0.1114911256,0.252448271,0.187961342,0.02560744385,0.0220488512,3.354575144,0.01075956768,1,21.90725827,0
0.0520507614,0.368518585,0.1114027931,0.268423846,0.199604006,0.02586923591,0.0224605225,3.388869904,0.01098197978,1,22.04649181,0
0.0502098802,0.357850097,0.1121843179,0.27502017,0.204735558,0.02611780286,0.0225419539,3.421432174,0.01116150055,1,22.18751714,0
0.0491789325,0.353598437,0.11369119,0.276612702,0.206918737,0.02635868428,0.0226745623,3.452987641,0.01131620455,1,22.31884551,0
0.0486369517,0.349978456,0.1156832189,0.276589281,0.209112125,0.02659640085,0.0227577929,3.484128511,0.011454833,1,22.45810342,0
0.0476218253,0.346255618,0.1176770871,0.275835015,0.212610472,0.02682725785,0.0233156085,3.514370779,0.01157180011,1,22.58998663,0
0.0449352631,0.33570955,0.1220003857,0.277921925,0.219432889,0.02703732223,0.023494326,3.541889212,0.0116491715,1,22.73101101,0
0.0380145073,0.318626005,0.13151027,0.284328127,0.227521099,0.02719493461,0.0235903102,3.562536434,0.01165700526,1,22.86545033,0
0.0277726021,0.303993017,0.14071582,0.294081702,0.233436832,0.02727814187,0.0244051985,3.573436585,0.01162160566,1,22.99899273,0
0.0234547855,0.293883568,0.145249824,0.300254874,0.237156943,0.02732857423,0.0244051985,3.580043224,0.01159028884,1,23.13662605,0
0.0208967439,0.287555844,0.146902939,0.30319507,0.241449406,0.02734867922,0.0244051985,3.582676978,0.01157671871,1,23.27435677,0
0.0184360764,0.281080114,0.146735518,0.304703618,0.249044687,0.02732963207,0.0244051985,3.580181801,0.01158940421,1,23.41878128,0
0.0168295544,0.265765777,0.145699298,0.309323236,0.262382128,0.02727180273,0.0235903102,3.572606157,0.011622961,1,23.56615245,0
0.0168435286,0.241052249,0.140294902,0.323345405,0.278463914,0.02718988264,0.023494326,3.561874626,0.0116585712,1,23.71191106,0
0.0164913762,0.223056497,0.140127358,0.335723123,0.284601655,0.02709594862,0.0234547855,3.549569269,0.01169504067,1,23.84735682,0
0.0156510368,0.219333301,0.146321394,0.338536346,0.280157917,0.02700492648,0.0233156085,3.537645369,0.01173760824,1,23.98359334,0
0.0148287319,0.223064436,0.153598395,0.334850799,0.27365763,0.02692956674,0.0227577929,3.527773243,0.0117841142,1,24.11514935,0
0.0140570992,0.230887898,0.159570905,0.326393843,0.269090247,0.02687097183,0.0227577929,3.52009731,0.01182914974,1,24.25111361,0
0.013522882,0.238084303,0.16232992,0.315263588,0.270799319,0.02681509182,0.0227577929,3.512777028,0.01187504488,1,24.3832654,0
0.0136725976,0.24120954,0.166119456,0.303860883,0.275137534,0.02674637453,0.0227577929,3.503775064,0.01192512938,1,24.5170681,0
0.0146438987,0.239369682,0.174895667,0.294917415,0.276173312,0.02665807613,0.0225419539,3.492207973,0.01197185621,1,24.65170848,0
0.0161568256,0.241013975,0.185659386,0.286575926,0.270593872,0.02655139851,0.0224605225,3.478233205,0.01200288891,1,24.7853508,0
0.0181596453,0.249682222,0.192888087,0.278893631,0.260376414,0.02644000862,0.0220488512,3.46364113,0.01201261087,1,24.91899331,0
0.0204490942,0.26433287,0.193551382,0.271333551,0.250333122,0.02633239076,0.0219502179,3.44954319,0.01200256915,1,25.05343373,0
0.0226068437,0.280938713,0.195197579,0.261630375,0.239626474,0.02622881242,0.0219502179,3.435974427,0.01197548841,1,25.18109307,0
0.0241784944,0.299768076,0.200423524,0.250164516,0.225465377,0.02612776935,0.0219502179,3.422737785,0.01193615531,1,25.31752789,0
0.0255387096,0.319108721,0.204967167,0.239530154,0.210855257,0.02603127672,0.0219502179,3.41009725,0.01188898122,1,25.45686746,0
0.0269295541,0.337316253,0.206259895,0.230191518,0.1993028,0.02593920556,0.0219502179,3.398035928,0.01183442464,1,25.58402863,0
0.0281144958,0.348719035,0.208434184,0.222539026,0.192193251,0.02584830422,0.0219502179,3.386127852,0.01177098032,1,25.70937798,0
0.0289596003,0.345921882,0.215354863,0.219743249,0.190020427,0.02576523049,0.0219502179,3.375245195,0.01170970093,1,25.84893706,0
0.0300089876,0.328326932,0.223512922,0.225139298,0.19301186,0.02572623793,0.0219502179,3.370137169,0.01168680285,1,25.99045489,0
0.0308538148,0.299633862,0.228497193,0.237873504,0.203141622,0.02572629392,0.0219502179,3.370144503,0.01168682759,1,26.13088279,0
0.0305481332,0.274263264,0.227570723,0.25016773,0.21745015,0.02574439096,0.0219502179,3.372515216,0.0116924865,1,26.26174104,0
0.0279055747,0.274114599,0.222932068,0.251649222,0.223398534,0.02576367432,0.0219502179,3.375041336,0.01169396297,1,26.39756508,0
0.0253675018,0.291436512,0.221629898,0.242417007,0.219149061,0.02578524339,0.0219502179,3.377866884,0.01169058024,1,26.52851555,0
0.0248245254,0.314970661,0.2220633,0.229060656,0.209080876,0.02582530524,0.0220488512,3.383114987,0.01167812548,1,26.65946579,0
0.0257208098,0.340242997,0.221525316,0.217789964,0.194720909,0.02589084569,0.0224605225,3.391700785,0.01165304414,1,26.78882022,0
0.0275727205,0.364706754,0.218399495,0.208792462,0.180528583,0.0259774636,0.0226068437,3.403047732,0.01162278239,1,26.91598344,0
0.0302528435,0.384668277,0.211561542,0.202816112,0.17070122,0.02608343719,0.0227577929,3.416930272,0.01159777476,0,27.05280666,1
0.0332759583,0.394025126,0.201015871,0.203445423,0.168237629,0.02620720727,0.0233156085,3.433144153,0.01158727085,0,27.18084004,1
0.0348182601,0.389074085,0.19036362,0.214363643,0.171380394,0.02633478299,0.0234547855,3.449856571,0.01158939036,0,27.30934341,1
0.0332102598,0.371055813,0.184441641,0.233182411,0.178109879,0.02644014845,0.023494326,3.463659446,0.01158866984,0,27.44127784,1
0.0326622721,0.343890625,0.178915015,0.255926639,0.188605439,0.02653083798,0.0235903102,3.475539776,0.01159053561,0,27.56763923,1
0.0317333501,0.32335695,0.165764131,0.279832264,0.199313314,0.02660551838,0.0241784944,3.485322908,0.01159231194,0,27.6982924,1
0.029305942,0.311664257,0.152563093,0.299442831,0.20702387,0.02665777349,0.0248084404,3.492168328,0.01158891184,0,27.82974119,1
0.0262589785,0.301782988,0.145033721,0.314793738,0.212130584,0.02669708708,0.0248245254,3.497318407,0.01157867424,0,27.96049008,1
0.0231438948,0.289557792,0.146284975,0.325950195,0.215063143,0.02673307267,0.0248245254,3.50203252,0.01156009311,0,28.0902446,1
0.0205503833,0.275231332,0.15036619,0.334140114,0.219711985,0.02676555959,0.0248245254,3.506288307,0.01153648841,0,28.22249386,1
0.0193680401,0.26134428,0.153336728,0.335308532,0.230642397,0.02679912583,0.0248245254,3.510685484,0.01150826936,0,28.36581075,1
0.0196221346,0.248351982,0.156662382,0.331176423,0.244187086,0.02683955125,0.0248245254,3.515981214,0.01147336736,0,28.51321044,1
0.0203038757,0.239456963,0.15859676,0.324605233,0.257037168,0.02688577162,0.0248245254,3.522036082,0.01143438607,0,28.66519125,1
0.020414458,0.238436892,0.158427828,0.317180474,0.265540337,0.02692959804,0.0248245254,3.527777343,0.01139816224,0,28.8016391,1
0.0191680043,0.244331406,0.154440282,0.312180882,0.269879412,0.02695920522,0.0248245254,3.531655883,0.01137270285,1,28.93479121,0
0.0170559418,0.253867745,0.145727252,0.31086365,0.272485417,0.02696999086,0.0248245254,3.533068803,0.01136255371,1,29.07929726,0
0.015399818,0.26077938,0.134226972,0.309921261,0.279672579,0.02695928998,0.0248245254,3.531666988,0.01137285902,1,29.2147347,0
0.0151695884,0.262491466,0.1250076035,0.309988442,0.287342894,0.02693232519,0.0248245254,3.5281346,0.01139675004,1,29.35585752,0
0.0160175231,0.262738197,0.121901214,0.311271546,0.288071511,0.02689727189,0.0248245254,3.523542617,0.01142337764,1,29.49757812,0
0.0170217052,0.264581702,0.1202317706,0.31165797,0.28650687,0.02685889672,0.0248245254,3.518515471,0.01144820748,1,29.63260627,0
0.0177496945,0.267972413,0.1173530165,0.311398053,0.28552681,0.02681640883,0.0248245254,3.512949557,0.01147176309,1,29.80512996,0
0.0180608599,0.26797013,0.1161914935,0.311817229,0.285960275,0.02677419929,0.0248245254,3.507420107,0.0114938759,1,29.93674359,0
0.0179198851,0.258492742,0.1154757497,0.320632587,0.287479042,0.02675211438,0.0248245254,3.504526983,0.01150818873,1,30.08766744,0
0.0181676574,0.250449834,0.1122286974,0.330095156,0.289058643,0.02674927617,0.0248245254,3.504155179,0.01151027541,1,30.30773976,0
0.0188406745,0.252539828,0.109342867,0.329397452,0.289879184,0.02674808587,0.0248245254,3.503999249,0.01151109133,1,30.43372533,0
0.0192633047,0.257184445,0.1065054235,0.324576711,0.292470104,0.02674124247,0.0248245254,3.503102764,0.01151530394,1,30.55307393,0
0.0193447838,0.258907737,0.1027534549,0.320891003,0.29810302,0.02672753481,0.0248245254,3.50130706,0.01152308845,1,30.70133016,0
0.020011378,0.25389164,0.1047191925,0.32030745,0.301070345,0.02671570355,0.0248245254,3.499757165,0.01152922772,1,30.83774295,0
0.0222801946,0.275091255,0.1146677215,0.309281568,0.278679277,0.02672733495,0.0248245254,3.501280879,0.01152393683,1,31.02739964,0
0.0267308182,0.327628227,0.1296073374,0.28206969,0.233963924,0.02679328858,0.0253675018,3.509920804,0.01149882524,1,31.15615225,0
0.0320327886,0.389256566,0.144401535,0.245967214,0.188341911,0.02693067831,0.0255387096,3.527918859,0.01145264046,1,31.26625865,0
0.0375240695,0.449892348,0.155293541,0.206572845,0.150717208,0.02713459428,0.0255683215,3.55463185,0.0114011193,1,31.37925372,0
0.0428710669,0.503370506,0.160229158,0.172114473,0.121414786,0.02739326497,0.0257208098,3.588517712,0.01137053843,1,31.49475541,0
0.0480415377,0.545852693,0.158629244,0.146995536,0.1004809846,0.0276921785,0.0260246946,3.627675384,0.01139488323,1,31.6083401,0
0.0532181788,0.575908132,0.151694586,0.131343811,0.0878352975,0.02802714257,0.0262589785,3.671555677,0.01149569672,1,31.72762268,0
0.0583160678,0.590457098,0.143737052,0.1251426394,0.0823471155,0.02839594814,0.0267308182,3.719869206,0.01168639905,1,31.84401007,0
0.0620721188,0.587410083,0.14058357,0.127936449,0.0819977553,0.02878682033,0.0269295541,3.771073463,0.01194898975,1,31.96417258,0
0.0621654748,0.573218087,0.139406826,0.139308001,0.0859015995,0.02917241649,0.027457566,3.82158656,0.01220411472,1,32.08671691,0
0.0574903064,0.554763664,0.140274222,0.155356461,0.0921153286,0.02951678227,0.027569161,3.866698478,0.01236203325,1,32.20998805,0
0.0528310926,0.534691635,0.144692945,0.169294711,0.0984896074,0.02981928861,0.0275727205,3.906326808,0.01244433903,1,32.32927408,0
0.0496395683,0.519644911,0.152366679,0.174914508,0.1034343312,0.03009061532,0.0277726021,3.941870607,0.0124862925,1,32.45226827,0
0.0466302489,0.507752066,0.16085845,0.177325419,0.107433834,0.03033237832,0.0279055747,3.973541561,0.01249766773,1,32.57812579,0
0.0432915961,0.498339766,0.168507638,0.178700399,0.1111606109,0.0305432083,0.0281144958,4.001160288,0.01248141328,1,32.70568838,0
0.0390702506,0.491124086,0.173817439,0.180695562,0.1152926575,0.03071523192,0.028375869,4.023695382,0.01244209556,1,32.83094966,0
0.0327061842,0.486193812,0.173805199,0.186806437,0.1204883886,0.03082883197,0.0289596003,4.038576988,0.01239132786,1,32.95781286,0
0.0281833716,0.487725911,0.165862781,0.192625219,0.1256027344,0.0308965694,0.0289596003,4.047450591,0.01235206597,1,33.10532005,0
0.0298146878,0.48226997,0.167348105,0.191662041,0.128905212,0.03096406656,0.029305942,4.056292719,0.01232154057,1,33.31831644,0
0.0329144751,0.480914201,0.179682969,0.180948375,0.125539955,0.03104159848,0.0293312811,4.066449401,0.01230144481,1,33.55569224,0
0.0353778729,0.485873411,0.193033581,0.168487307,0.1172278116,0.03112228117,0.0298146878,4.077018834,0.01229490796,1,33.74596381,0
0.0372761756,0.484045517,0.206619435,0.160215945,0.1118429295,0.03119723239,0.0300089876,4.086837443,0.01230232104,1,33.87737002,0
0.038369231,0.470121488,0.220463536,0.159306361,0.1117393708,0.03125055123,0.0300089876,4.093822211,0.01231826457,1,34.02103016,0
0.0376297608,0.45283916,0.226348254,0.166405138,0.1167776704,0.03124963645,0.0300089876,4.093702375,0.01231778267,1,34.16147218,0
0.0337376526,0.436247226,0.226837528,0.177283865,0.1258937304,0.03114610396,0.0300089876,4.080139619,0.01223857987,1,34.30650444,0
0.0308891716,0.410208518,0.234061035,0.187699888,0.137141411,0.031006013,0.0300089876,4.061787703,0.01213445047,1,34.4575032,0
0.0303294884,0.397124084,0.239540832,0.190855777,0.142149819,0.03088255053,0.0300089876,4.045614119,0.01205759814,1,34.60660305,0
